,LOCATION,Measure,Period,Value
0,AUS,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2000,523562.2
1,AUS,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2001,550446.5
2,AUS,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2002,585302.6
3,AUS,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2003,613440.1
4,AUS,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2004,654879.8
5,AUS,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2005,694299.0
6,AUS,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2006,740304.1
7,AUS,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2007,793851.2
8,AUS,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2008,835466.0
9,AUS,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2009,875264.3
10,AUS,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2010,908021.5
11,AUS,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2011,971713.9
12,AUS,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2012,983764.1
13,AUS,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2013,1084039.8
14,AUS,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2014,1110596.0
15,AUS,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2015,1111712.5
16,AUS,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2016,1172197.3
17,AUS,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2017,1220062.5
18,AUS,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2018,1288976.6
19,AUS,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2019,1345530.8
20,AUS,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2020,1361609.8
21,AUT,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2000,235347.8
22,AUT,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2001,238878.5
23,AUT,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2002,251984.8
24,AUT,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2003,261057.1
25,AUT,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2004,275998.5
26,AUT,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2005,288086.7
27,AUT,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2006,311414.9
28,AUT,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2007,327096.3
29,AUT,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2008,343813.0
30,AUT,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2009,341393.0
31,AUT,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2010,351341.8
32,AUT,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2011,373031.5
33,AUT,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2012,391635.2
34,AUT,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2013,406370.2
35,AUT,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2014,417059.5
36,AUT,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2015,430975.9
37,AUT,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2016,460282.6
38,AUT,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2017,476590.6
39,AUT,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2018,503557.2
40,AUT,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",2019,515713.2
