LOCATION;MEASURE;TIME;Value
AUS;MLN_USD;2000;538603.652
AUS;MLN_USD;2001;569787.095
AUS;MLN_USD;2002;600460.974
AUS;MLN_USD;2003;638022.66
AUS;MLN_USD;2004;676954.659
AUS;MLN_USD;2005;719149.954
AUS;MLN_USD;2006;774966.901
AUS;MLN_USD;2007;825988.747
AUS;MLN_USD;2008;852201.51
AUS;MLN_USD;2009;903166.382
AUS;MLN_USD;2010;943179.751
AUS;MLN_USD;2011;992556.359
AUS;MLN_USD;2012;997622.794
AUS;MLN_USD;2013;1104642.029
AUS;MLN_USD;2014;1117534.426
AUS;MLN_USD;2015;1124892.295
AUS;MLN_USD;2016;1213189.412
AUS;MLN_USD;2017;1247296.036
AUS;MLN_USD;2018;1323601.791
AUS;MLN_USD;2019;1335998.074
AUS;MLN_USD;2020;1429458.63
AUT;MLN_USD;2000;235347.82
AUT;MLN_USD;2001;238878.519
AUT;MLN_USD;2002;251984.784
AUT;MLN_USD;2003;261057.076
AUT;MLN_USD;2004;275998.472
AUT;MLN_USD;2005;288086.722
AUT;MLN_USD;2006;311414.93
AUT;MLN_USD;2007;327096.286
AUT;MLN_USD;2008;343812.976
AUT;MLN_USD;2009;341392.998
AUT;MLN_USD;2010;351341.77
AUT;MLN_USD;2011;373031.477
AUT;MLN_USD;2012;391635.176
AUT;MLN_USD;2013;406370.245
AUT;MLN_USD;2014;417059.519
AUT;MLN_USD;2015;430975.924
AUT;MLN_USD;2016;460282.647
AUT;MLN_USD;2017;476590.588
AUT;MLN_USD;2018;503557.209
AUT;MLN_USD;2019;515713.228
AUT;MLN_USD;2020;496544.035
BEL;MLN_USD;2000;284826.571
BEL;MLN_USD;2001;296130.583
BEL;MLN_USD;2002;312900.475
BEL;MLN_USD;2003;320963.526
BEL;MLN_USD;2004;334133.78
BEL;MLN_USD;2005;347658.439
BEL;MLN_USD;2006;371912.513
BEL;MLN_USD;2007;390932.181
BEL;MLN_USD;2008;405729.43
BEL;MLN_USD;2009;407562.442
BEL;MLN_USD;2010;434081.06
BEL;MLN_USD;2011;451932.625
BEL;MLN_USD;2012;469720.336
BEL;MLN_USD;2013;487343.796
BEL;MLN_USD;2014;503619.623
BEL;MLN_USD;2015;520877.807
BEL;MLN_USD;2016;550677.566
BEL;MLN_USD;2017;573788.528
BEL;MLN_USD;2018;600242.003
BEL;MLN_USD;2019;623501.016
BEL;MLN_USD;2020;612872.059
BEL;MLN_USD;2021;684294.422
CAN;MLN_USD;2000;901003.29
CAN;MLN_USD;2001;937793.044
CAN;MLN_USD;2002;971009.088
CAN;MLN_USD;2003;1023686.549
CAN;MLN_USD;2004;1083615.23
CAN;MLN_USD;2005;1171340.162
CAN;MLN_USD;2006;1241618.911
CAN;MLN_USD;2007;1301593.852
CAN;MLN_USD;2008;1342396.613
CAN;MLN_USD;2009;1307000.658
CAN;MLN_USD;2010;1363578.975
CAN;MLN_USD;2011;1430807.125
CAN;MLN_USD;2012;1468094.965
CAN;MLN_USD;2013;1554122.745
CAN;MLN_USD;2014;1621396.709
CAN;MLN_USD;2015;1594850.842
CAN;MLN_USD;2016;1678093.396
CAN;MLN_USD;2017;1765763.154
CAN;MLN_USD;2018;1849252.231
CAN;MLN_USD;2019;1853244.739
CAN;MLN_USD;2020;1771474.029
CAN;MLN_USD;2021;1939937.895
CZE;MLN_USD;2000;166495.881
CZE;MLN_USD;2001;180027.35
CZE;MLN_USD;2002;186119.946
CZE;MLN_USD;2003;199171.057
CZE;MLN_USD;2004;213446.515
CZE;MLN_USD;2005;225620.781
CZE;MLN_USD;2006;244952.528
CZE;MLN_USD;2007;270677.659
CZE;MLN_USD;2008;290503.947
CZE;MLN_USD;2009;289939.429
CZE;MLN_USD;2010;292047.155
