,LOCATION,Measure,Year,Value
0,AUS,Median disposable income (current prices),2012,45651
1,AUS,Median disposable income (current prices),2014,48537
2,AUS,Median disposable income (current prices),2016,49154
3,AUS,Median disposable income (current prices),2018,51935
4,AUT,Median disposable income (current prices),2007,21661
5,AUT,Median disposable income (current prices),2008,22945
6,AUT,Median disposable income (current prices),2009,23471
7,AUT,Median disposable income (current prices),2010,23843
8,AUT,Median disposable income (current prices),2011,24391
9,AUT,Median disposable income (current prices),2012,24750
10,AUT,Median disposable income (current prices),2013,25568
11,AUT,Median disposable income (current prices),2014,25932
12,AUT,Median disposable income (current prices),2015,26055
13,AUT,Median disposable income (current prices),2016,27516
14,AUT,Median disposable income (current prices),2017,27677
15,AUT,Median disposable income (current prices),2018,28265
16,AUT,Median disposable income (current prices),2019,29343
17,BEL,Median disposable income (current prices),2018,27420
18,BEL,Median disposable income (current prices),2019,28436
19,CAN,Median disposable income (current prices),2000,25596
20,CAN,Median disposable income (current prices),2001,27077
21,CAN,Median disposable income (current prices),2002,27921
22,CAN,Median disposable income (current prices),2003,28661
23,CAN,Median disposable income (current prices),2004,29676
24,CAN,Median disposable income (current prices),2005,30866
25,CAN,Median disposable income (current prices),2006,32075
26,CAN,Median disposable income (current prices),2007,33792
27,CAN,Median disposable income (current prices),2008,35615
28,CAN,Median disposable income (current prices),2009,35909
29,CAN,Median disposable income (current prices),2010,36733
30,CAN,Median disposable income (current prices),2011,38205
31,CAN,Median disposable income (current prices),2012,39555
32,CAN,Median disposable income (current prices),2013,40123
33,CAN,Median disposable income (current prices),2014,41497
34,CAN,Median disposable income (current prices),2015,42253
35,CAN,Median disposable income (current prices),2016,42985
36,CAN,Median disposable income (current prices),2017,44717
37,CAN,Median disposable income (current prices),2018,46269
38,CAN,Median disposable income (current prices),2019,47897
39,CZE,Median disposable income (current prices),2004,150963
40,CZE,Median disposable income (current prices),2005,160619
41,CZE,Median disposable income (current prices),2006,175574
42,CZE,Median disposable income (current prices),2007,193325
43,CZE,Median disposable income (current prices),2008,209239
44,CZE,Median disposable income (current prices),2009,213696
45,CZE,Median disposable income (current prices),2010,217020
46,CZE,Median disposable income (current prices),2011,217699
47,CZE,Median disposable income (current prices),2012,218923
48,CZE,Median disposable income (current prices),2013,224089
49,CZE,Median disposable income (current prices),2014,231264
50,CZE,Median disposable income (current prices),2015,241658
51,CZE,Median disposable income (current prices),2016,254293
52,CZE,Median disposable income (current prices),2017,271380
53,CZE,Median disposable income (current prices),2018,291137
54,CZE,Median disposable income (current prices),2019,309590
55,DNK,Median disposable income (current prices),2011,227364
56,DNK,Median disposable income (current prices),2012,229627
57,DNK,Median disposable income (current prices),2013,230502
58,DNK,Median disposable income (current prices),2014,235024
59,DNK,Median disposable income (current prices),2015,237381
60,DNK,Median disposable income (current prices),2016,240807
61,DNK,Median disposable income (current prices),2017,245450
62,DNK,Median disposable income (current prices),2018,253365
63,FIN,Median disposable income (current prices),2000,15857
64,FIN,Median disposable income (current prices),2001,16903
65,FIN,Median disposable income (current prices),2002,17585
66,FIN,Median disposable income (current prices),2003,18140
67,FIN,Median disposable income (current prices),2004,19075
68,FIN,Median disposable income (current prices),2005,19770
69,FIN,Median disposable income (current prices),2006,20307
70,FIN,Median disposable income (current prices),2007,21668
71,FIN,Median disposable income (current prices),2008,22861
72,FIN,Median disposable income (current prices),2009,23357
73,FIN,Median disposable income (current prices),2010,23770
74,FIN,Median disposable income (current prices),2011,24685
75,FIN,Median disposable income (current prices),2012,25355
76,FIN,Median disposable income (current prices),2013,25671
77,FIN,Median disposable income (current prices),2014,25828
78,FIN,Median disposable income (current prices),2015,25694
79,FIN,Median disposable income (current prices),2016,25837
80,FIN,Median disposable income (current prices),2017,26413
81,FIN,Median disposable income (current prices),2018,26892
82,FRA,Median disposable income (current prices),2012,21640
83,FRA,Median disposable income (current prices),2013,21760
84,FRA,Median disposable income (current prices),2014,21920
85,FRA,Median disposable income (current prices),2015,21970
86,FRA,Median disposable income (current prices),2016,22270
87,FRA,Median disposable income (current prices),2017,22610
88,FRA,Median disposable income (current prices),2018,23070
89,FRA,Median disposable income (current prices),2019,23840
90,DEU,Median disposable income (current prices),2008,19419
91,DEU,Median disposable income (current prices),2011,20025
92,DEU,Median disposable income (current prices),2012,20857
93,DEU,Median disposable income (current prices),2013,21132
94,DEU,Median disposable income (current prices),2014,21607
95,DEU,Median disposable income (current prices),2015,22055
96,DEU,Median disposable income (current prices),2016,22662
97,DEU,Median disposable income (current prices),2017,23634
98,DEU,Median disposable income (current prices),2018,24495
99,GRC,Median disposable income (current prices),2004,10700
100,GRC,Median disposable income (current prices),2005,11017
101,GRC,Median disposable income (current prices),2006,11498
102,GRC,Median disposable income (current prices),2007,12401
103,GRC,Median disposable income (current prices),2008,12950
104,GRC,Median disposable income (current prices),2009,13517
