,LOCATION,Measure,Year,Value
0,AUS,Purchasing Power Parities for private consumption,2012,1.546202
1,AUS,Purchasing Power Parities for private consumption,2014,1.530216
2,AUS,Purchasing Power Parities for private consumption,2016,1.533296
3,AUS,Purchasing Power Parities for private consumption,2018,1.555354
4,AUT,Purchasing Power Parities for private consumption,2007,0.878996
5,AUT,Purchasing Power Parities for private consumption,2008,0.872035
6,AUT,Purchasing Power Parities for private consumption,2009,0.862725
7,AUT,Purchasing Power Parities for private consumption,2010,0.856177
8,AUT,Purchasing Power Parities for private consumption,2011,0.850842
9,AUT,Purchasing Power Parities for private consumption,2012,0.855789
10,AUT,Purchasing Power Parities for private consumption,2013,0.845407
11,AUT,Purchasing Power Parities for private consumption,2014,0.845595
12,AUT,Purchasing Power Parities for private consumption,2015,0.850461
13,AUT,Purchasing Power Parities for private consumption,2016,0.832053
14,AUT,Purchasing Power Parities for private consumption,2017,0.837481
15,AUT,Purchasing Power Parities for private consumption,2018,0.829647
16,AUT,Purchasing Power Parities for private consumption,2019,0.83705
17,BEL,Purchasing Power Parities for private consumption,2018,0.843869
18,BEL,Purchasing Power Parities for private consumption,2019,0.84695
19,CAN,Purchasing Power Parities for private consumption,2000,1.269852
20,CAN,Purchasing Power Parities for private consumption,2001,1.271899
21,CAN,Purchasing Power Parities for private consumption,2002,1.287024
22,CAN,Purchasing Power Parities for private consumption,2003,1.285584
23,CAN,Purchasing Power Parities for private consumption,2004,1.273329
24,CAN,Purchasing Power Parities for private consumption,2005,1.259993
25,CAN,Purchasing Power Parities for private consumption,2006,1.287293
26,CAN,Purchasing Power Parities for private consumption,2007,1.274714
27,CAN,Purchasing Power Parities for private consumption,2008,1.301879
28,CAN,Purchasing Power Parities for private consumption,2009,1.299922
29,CAN,Purchasing Power Parities for private consumption,2010,1.295116
30,CAN,Purchasing Power Parities for private consumption,2011,1.284584
31,CAN,Purchasing Power Parities for private consumption,2012,1.284164
32,CAN,Purchasing Power Parities for private consumption,2013,1.303071
33,CAN,Purchasing Power Parities for private consumption,2014,1.311276
34,CAN,Purchasing Power Parities for private consumption,2015,1.340276
35,CAN,Purchasing Power Parities for private consumption,2016,1.300739
36,CAN,Purchasing Power Parities for private consumption,2017,1.298456
37,CAN,Purchasing Power Parities for private consumption,2018,1.280703
38,CAN,Purchasing Power Parities for private consumption,2019,1.306667
39,CZE,Purchasing Power Parities for private consumption,2004,15.469208
40,CZE,Purchasing Power Parities for private consumption,2005,15.429167
41,CZE,Purchasing Power Parities for private consumption,2006,15.583178
42,CZE,Purchasing Power Parities for private consumption,2007,15.418932
43,CZE,Purchasing Power Parities for private consumption,2008,15.286191
44,CZE,Purchasing Power Parities for private consumption,2009,14.893877
45,CZE,Purchasing Power Parities for private consumption,2010,14.81484
46,CZE,Purchasing Power Parities for private consumption,2011,14.594311
47,CZE,Purchasing Power Parities for private consumption,2012,14.651922
48,CZE,Purchasing Power Parities for private consumption,2013,14.199973
49,CZE,Purchasing Power Parities for private consumption,2014,13.928455
50,CZE,Purchasing Power Parities for private consumption,2015,14.18868
51,CZE,Purchasing Power Parities for private consumption,2016,13.909124
52,CZE,Purchasing Power Parities for private consumption,2017,13.925405
53,CZE,Purchasing Power Parities for private consumption,2018,13.967082
54,CZE,Purchasing Power Parities for private consumption,2019,14.179442
55,DNK,Purchasing Power Parities for private consumption,2011,8.360319
56,DNK,Purchasing Power Parities for private consumption,2012,8.408242
57,DNK,Purchasing Power Parities for private consumption,2013,8.261584
58,DNK,Purchasing Power Parities for private consumption,2014,8.282344
59,DNK,Purchasing Power Parities for private consumption,2015,8.290604
60,DNK,Purchasing Power Parities for private consumption,2016,8.198279
61,DNK,Purchasing Power Parities for private consumption,2017,7.985071
62,DNK,Purchasing Power Parities for private consumption,2018,7.79349
63,FIN,Purchasing Power Parities for private consumption,2000,1.071966
64,FIN,Purchasing Power Parities for private consumption,2001,1.095393
65,FIN,Purchasing Power Parities for private consumption,2002,1.090637
66,FIN,Purchasing Power Parities for private consumption,2003,1.096135
67,FIN,Purchasing Power Parities for private consumption,2004,1.063822
68,FIN,Purchasing Power Parities for private consumption,2005,1.06801
69,FIN,Purchasing Power Parities for private consumption,2006,1.044647
70,FIN,Purchasing Power Parities for private consumption,2007,1.011992
