,LOCATION,Measure,Year,Value
0,AUS,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2012,0.271
1,AUS,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2014,0.278
2,AUS,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2016,0.287
3,AUS,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2018,0.297
4,AUT,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2007,0.28
5,AUT,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2008,0.302
6,AUT,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2009,0.328
7,AUT,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2010,0.297
8,AUT,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2011,0.327
9,AUT,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2012,0.335
10,AUT,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2013,0.281
11,AUT,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2014,0.278
12,AUT,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2015,0.335
13,AUT,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2016,0.353
14,AUT,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2017,0.29
15,AUT,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2018,0.322
16,AUT,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2019,0.294
17,BEL,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2018,0.219
18,BEL,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2019,0.233
19,CAN,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2000,0.306
20,CAN,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2001,0.302
21,CAN,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2002,0.302
22,CAN,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2003,0.301
23,CAN,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2004,0.298
24,CAN,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2005,0.309
25,CAN,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2006,0.3
26,CAN,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2007,0.298
27,CAN,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2008,0.304
28,CAN,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2009,0.302
29,CAN,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2010,0.291
30,CAN,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2011,0.306
31,CAN,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2012,0.317
32,CAN,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2013,0.325
33,CAN,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2014,0.312
34,CAN,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2015,0.306
35,CAN,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2016,0.304
36,CAN,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2017,0.305
37,CAN,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2018,0.298
38,CAN,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2019,0.303
39,CZE,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2004,0.231
40,CZE,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2005,0.202
41,CZE,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2006,0.223
42,CZE,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2007,0.231
43,CZE,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2008,0.227
44,CZE,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2009,0.245
45,CZE,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2010,0.237
