,ID,Name,RegionID,IncomeLevelID
0,ABW,Aruba,LCN,HIC
1,AFG,Afghanistan,SAS,LIC
2,AGO,Angola,SSF,LMC
3,ALB,Albania,ECS,UMC
4,AND,Andorra,ECS,HIC
5,ARE,United Arab Emirates,MEA,HIC
6,ARG,Argentina,LCN,UMC
7,ARM,Armenia,ECS,UMC
8,ASM,American Samoa,EAS,UMC
9,ATG,Antigua and Barbuda,LCN,HIC
10,AUS,Australia,EAS,HIC
11,AUT,Austria,ECS,HIC
12,AZE,Azerbaijan,ECS,UMC
13,BDI,Burundi,SSF,LIC
14,BEL,Belgium,ECS,HIC
15,BEN,Benin,SSF,LMC
16,BFA,Burkina Faso,SSF,LIC
17,BGD,Bangladesh,SAS,LMC
18,BGR,Bulgaria,ECS,UMC
19,BHR,Bahrain,MEA,HIC
20,BHS,"Bahamas, The",LCN,HIC
21,BIH,Bosnia and Herzegovina,ECS,UMC
22,BLR,Belarus,ECS,UMC
23,BLZ,Belize,LCN,LMC
24,BMU,Bermuda,NAC,HIC
25,BOL,Bolivia,LCN,LMC
26,BRA,Brazil,LCN,UMC
27,BRB,Barbados,LCN,HIC
28,BRN,Brunei Darussalam,EAS,HIC
29,BTN,Bhutan,SAS,LMC
30,BWA,Botswana,SSF,UMC
31,CAF,Central African Republic,SSF,LIC
32,CAN,Canada,NAC,HIC
33,CHE,Switzerland,ECS,HIC
34,CHI,Channel Islands,ECS,HIC
35,CHL,Chile,LCN,HIC
36,CHN,China,EAS,UMC
37,CIV,Cote d'Ivoire,SSF,LMC
38,CMR,Cameroon,SSF,LMC
39,COD,"Congo, Dem. Rep.",SSF,LIC
40,COG,"Congo, Rep.",SSF,LMC
41,COL,Colombia,LCN,UMC
42,COM,Comoros,SSF,LMC
43,CPV,Cabo Verde,SSF,LMC
44,CRI,Costa Rica,LCN,UMC
45,CUB,Cuba,LCN,UMC
46,CUW,Curacao,LCN,HIC
47,CYM,Cayman Islands,LCN,HIC
48,CYP,Cyprus,ECS,HIC
49,CZE,Czech Republic,ECS,HIC
50,DEU,Germany,ECS,HIC
51,DJI,Djibouti,MEA,LMC
52,DMA,Dominica,LCN,UMC
53,DNK,Denmark,ECS,HIC
54,DOM,Dominican Republic,LCN,UMC
55,DZA,Algeria,MEA,LMC
56,ECU,Ecuador,LCN,UMC
57,EGY,"Egypt, Arab Rep.",MEA,LMC
58,ERI,Eritrea,SSF,LIC
59,ESP,Spain,ECS,HIC
60,EST,Estonia,ECS,HIC
61,ETH,Ethiopia,SSF,LIC
62,FIN,Finland,ECS,HIC
63,FJI,Fiji,EAS,UMC
64,FRA,France,ECS,HIC
65,FRO,Faroe Islands,ECS,HIC
66,FSM,"Micronesia, Fed. Sts.",EAS,LMC
67,GAB,Gabon,SSF,UMC
68,GBR,United Kingdom,ECS,HIC
69,GEO,Georgia,ECS,UMC
70,GHA,Ghana,SSF,LMC
71,GIB,Gibraltar,ECS,HIC
72,GIN,Guinea,SSF,LIC
73,GMB,"Gambia, The",SSF,LIC
74,GNB,Guinea-Bissau,SSF,LIC
75,GNQ,Equatorial Guinea,SSF,UMC
76,GRC,Greece,ECS,HIC
77,GRD,Grenada,LCN,UMC
78,GRL,Greenland,ECS,HIC
79,GTM,Guatemala,LCN,UMC
80,GUM,Guam,EAS,HIC
81,GUY,Guyana,LCN,UMC
82,HKG,"Hong Kong SAR, China",EAS,HIC
83,HND,Honduras,LCN,LMC
84,HRV,Croatia,ECS,HIC
85,HTI,Haiti,LCN,LMC
86,HUN,Hungary,ECS,HIC
87,IDN,Indonesia,EAS,LMC
88,IMN,Isle of Man,ECS,HIC
89,IND,India,SAS,LMC
90,IRL,Ireland,ECS,HIC
91,IRN,"Iran, Islamic Rep.",MEA,LMC
92,IRQ,Iraq,MEA,UMC
93,ISL,Iceland,ECS,HIC
94,ISR,Israel,MEA,HIC
95,ITA,Italy,ECS,HIC
96,JAM,Jamaica,LCN,UMC
97,JOR,Jordan,MEA,UMC
98,JPN,Japan,EAS,HIC
99,KAZ,Kazakhstan,ECS,UMC
100,KEN,Kenya,SSF,LMC
101,KGZ,Kyrgyz Republic,ECS,LMC
102,KHM,Cambodia,EAS,LMC
103,KIR,Kiribati,EAS,LMC
104,KNA,St. Kitts and Nevis,LCN,HIC
105,KOR,"Korea, Rep.",EAS,HIC
106,KWT,Kuwait,MEA,HIC
107,LAO,Lao PDR,EAS,LMC
108,LBN,Lebanon,MEA,UMC
109,LBR,Liberia,SSF,LIC
110,LBY,Libya,MEA,UMC
111,LCA,St. Lucia,LCN,UMC
112,LIE,Liechtenstein,ECS,HIC
113,LKA,Sri Lanka,SAS,LMC
114,LSO,Lesotho,SSF,LMC
115,LTU,Lithuania,ECS,HIC
116,LUX,Luxembourg,ECS,HIC
117,LVA,Latvia,ECS,HIC
118,MAC,"Macao SAR, China",EAS,HIC
119,MAF,St. Martin (French part),LCN,HIC
120,MAR,Morocco,MEA,LMC
121,MCO,Monaco,ECS,HIC
122,MDA,Moldova,ECS,UMC
123,MDG,Madagascar,SSF,LIC
124,MDV,Maldives,SAS,UMC
125,MEX,Mexico,LCN,UMC
126,MHL,Marshall Islands,EAS,UMC
127,MKD,North Macedonia,ECS,UMC
128,MLI,Mali,SSF,LIC
129,MLT,Malta,MEA,HIC
130,MMR,Myanmar,EAS,LMC
131,MNE,Montenegro,ECS,UMC
132,MNG,Mongolia,EAS,LMC
133,MNP,Northern Mariana Islands,EAS,HIC
134,MOZ,Mozambique,SSF,LIC
135,MRT,Mauritania,SSF,LMC
136,MUS,Mauritius,SSF,UMC
137,MWI,Malawi,SSF,LIC
138,MYS,Malaysia,EAS,UMC
139,NAM,Namibia,SSF,UMC
140,NCL,New Caledonia,EAS,HIC
141,NER,Niger,SSF,LIC
142,NGA,Nigeria,SSF,LMC
143,NIC,Nicaragua,LCN,LMC
144,NLD,Netherlands,ECS,HIC
145,NOR,Norway,ECS,HIC
146,NPL,Nepal,SAS,LMC
147,NRU,Nauru,EAS,HIC
148,NZL,New Zealand,EAS,HIC
